innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
2567772160,26,1,2,6879232,9546752,26004480,48128,21275648,1676288,38.39
2599138304,24,0,0,12304384,9981952,55302144,46080,4205568,57206784,33.56
2652110848,32,1,0,14858240,15048704,51868672,24576,20221952,66912256,33.66
1513327616,18,1,2,6959104,4846592,50248704,19456,117164032,41583616,33.77
824121344,4,0,0,10376192,4667392,52124672,34816,99058688,59503616,46.25
3008832512,39,1,0,4003840,813056,16920576,26624,122655744,41411584,40.34
723557376,16,0,0,2849792,5161984,28085248,17408,74177536,36252672,39.12
1603103744,28,1,2,14288896,6066176,53803008,4096,46258176,32972800,36.03
2776126464,16,1,0,14664704,12414976,42930176,47104,76097536,9608192,44.24
2561853440,41,1,0,3476480,5117952,18102272,46080,63560704,12751872,34.29
1829632000,18,1,2,7421952,3329024,35520512,13312,123194368,63557632,34.05
811354112,14,0,0,9879552,8797184,45869056,28672,31753216,1553408,45.56
228317184,10,1,0,8786944,12271616,54847488,33792,89369600,13209600,38.6
1083769856,23,1,2,2545664,6901760,29948928,16384,15284224,43351040,33.75
330036224,25,0,0,13890560,13252608,66856960,43008,96277504,26601472,38.91
336311296,21,0,0,8542208,10204160,32140288,45056,3190784,51420160,37.09
2978190336,33,1,0,6302720,8115200,12812288,21504,110585856,8946688,33.26
2800649216,13,1,0,9127936,9780224,31752192,14336,127710208,31395840,33.49
1306905600,10,1,0,11024384,8531968,41430016,26624,69601280,28904448,32.86
589718528,17,0,2,12852224,5244928,39972864,35840,6894592,41783296,39.52
405492736,31,1,2,8437760,1737728,36782080,50176,69140480,22177792,37.61
1180108800,0,0,0,9401344,13783040,11030528,20480,15352832,2529280,42.59
677739520,29,1,0,10545152,8268800,7352320,48128,66743296,37018624,39.67
2827987968,18,0,0,512000,277504,8914944,39936,37391360,30738432,33.79
696054784,20,0,2,11521024,12430336,50835456,20480,98998272,19835904,38.16
2578590720,0,0,2,10791936,7616512,42259456,35840,69182464,3098624,42.79
220989440,7,1,0,5259264,245760,32278528,41984,105502720,62286848,39.22
809009152,33,1,0,7134208,8512512,36088832,21504,77885440,4997120,38.99
413961216,14,0,0,3289088,2785280,7017472,7168,41083904,36624384,38.84
1528628224,33,0,0,7763968,3414016,40883200,49152,7267328,36284416,42.43
521099264,0,1,2,15703040,9779200,47293440,39936,106056704,53128192,38.11
1515095040,17,1,0,4082688,7409664,12828672,45056,109947904,40852480,33.12
882634752,16,1,2,7712768,4093952,11601920,26624,24407040,37965824,38.24
182776832,21,1,2,15867904,1422336,18522112,10240,92248064,37149696,39.33
2611806208,12,1,0,2656256,3866624,3903488,0,8627200,54522880,33.84
2863168512,20,1,0,13225984,5386240,46362624,41984,40458240,21037056,45.52
1767632896,21,1,0,12611584,10818560,65156096,34816,31218688,12791808,34.51
2013291520,16,0,0,9310208,8196096,25017344,30720,44731392,44249088,34.16
2068644864,14,0,0,13588480,1427456,31355904,40960,24318976,48498688,33.68
2352667648,21,0,0,14761984,4041728,632832,24576,69069824,998400,41.17
2181978112,33,1,0,11832320,1487872,49336320,26624,62195712,64441344,34.75
1942471680,19,1,0,8091648,9550848,10210304,36864,107589632,29095936,38.91
1707100160,18,1,2,6200320,757760,62113792,15360,124101632,23956480,35.62
268485632,22,1,0,14874624,222208,1888256,45056,26114048,8468480,43.78
2253796352,19,0,0,12128256,840704,58292224,6144,107582464,50793472,33.63
1807959040,18,1,0,11642880,1430528,34330624,40960,4358144,56498176,34.13
1775144960,29,0,0,14746624,621568,9019392,21504,103724032,51480576,35.66
726553600,0,1,2,3380224,4027392,43042816,24576,49906688,24640512,31.27
2700574720,35,1,0,6708224,4318208,51403776,21504,77125632,25521152,34.1
300996608,16,1,0,7617536,5952512,10178560,12288,103801856,66385920,40.2
660403200,29,1,0,7114752,2271232,43025408,4096,31936512,28911616,39.07
1431384064,19,0,0,6830080,92160,1683456,32768,5366784,15004672,55.46
2421154816,0,0,0,6846464,8481792,65382400,41984,131300352,46106624,35.45
2476796928,0,0,0,3101696,3572736,51166208,36864,18194432,39907328,33.1
379071488,29,1,0,4974592,1216512,32152576,37888,49832960,64709632,38.51
1439696896,19,1,0,11736064,684032,33652736,9216,96786432,33520640,33.75
