repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,"repl-disable-tcp-nodelay(1=yes,0=no)",hll-sparse-max-bytes,hz,6.0.5performance(requests per second)
4,32,936,-4,102,13,0,14487,463,59880.24
10,77,770,-5,160,9,1,7275,282,66666.66
2,47,274,-5,183,20,0,9434,159,66225.17
5,98,737,-4,109,20,1,10761,483,64935.07
1,98,787,-5,270,10,0,9673,224,64102.56
3,75,484,-2,121,17,1,11186,464,61349.69
5,40,398,-4,147,10,1,982,455,60975.61
9,118,538,-1,199,10,1,2508,342,60975.61
5,83,364,-4,185,5,0,12253,336,60606.06
8,82,471,-1,145,16,1,4499,328,60240.96
9,109,715,-2,171,18,0,6076,495,64935.07
8,110,695,-3,236,18,1,3424,493,64516.13
8,105,908,-3,264,18,1,5951,230,64102.56
3,101,769,-3,279,7,1,3725,417,63694.27
3,121,499,-4,100,13,1,8287,163,63291.14
9,54,943,-3,147,13,1,6888,326,63291.14
10,63,360,-2,147,10,1,6622,164,61728.39
8,111,431,-4,124,16,0,3100,41,61728.39
1,106,856,-5,228,6,1,4862,260,61349.69
3,127,952,-2,259,7,0,11754,432,60606.06
9,85,699,-2,109,19,0,9331,51,60606.06
9,78,286,-4,166,12,0,4765,230,65359.48
2,50,287,-2,121,5,1,13460,474,65359.48
9,50,393,-5,255,19,1,2598,480,63694.27
6,80,986,-2,248,11,0,2684,380,63694.27
8,88,964,-3,111,18,0,7226,439,62500
4,69,935,-5,201,20,0,232,257,62500
10,66,765,-3,287,8,0,7095,447,62111.8
1,84,980,-4,250,5,1,9088,19,61349.69
3,73,878,-2,179,19,1,11726,363,61349.69
9,122,809,-5,176,7,1,8266,37,61349.69
10,36,534,-2,264,17,1,13154,7,60975.61
2,97,680,-5,140,14,0,8153,24,60975.61
7,96,469,-4,276,8,0,11572,473,65789.48
5,123,345,-5,225,18,1,3368,245,65359.48
7,32,916,-1,175,20,0,10739,295,64935.07
2,36,476,-4,208,18,1,8232,179,64102.56
1,45,949,-4,234,9,0,13023,154,64102.56
9,108,832,-5,185,16,1,8013,458,63291.14
6,51,281,-5,225,15,1,1166,442,63291.14
