shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
220MB,285MB,913,9553ms,0.5004209,4s,1370,57,35s,369.205926
242MB,217MB,429,4440ms,0.33107346,7s,1245,25,60s,367.56883
75MB,229MB,537,5431ms,0.21270412,8s,8986,717,58s,365.040754
182MB,479MB,562,8419ms,0.88279945,1s,1032,745,2520s,366.914802
208MB,92MB,463,1462ms,0.12169659,4s,3147,522,1680s,375.159373
274MB,284MB,198,2585ms,0.75899315,8s,1633,150,3060s,369.450457
252MB,67MB,447,3380ms,0.2960902,8s,259,520,1440s,362.270221
166MB,201MB,101,5420ms,0.76092356,9s,7104,619,45s,370.496854
503MB,344MB,801,8364ms,0.6300731,9s,6915,562,3120s,375.419773
356MB,283MB,4,4794ms,0.44082332,6s,5129,911,3360s,380.380294
186MB,167MB,642,1681ms,0.974265,3s,509,352,1800s,365.37183
279MB,423MB,648,9022ms,0.91259027,5s,1613,632,57s,371.789478
143MB,110MB,752,978ms,0.9329419,5s,4966,83,3480s,368.879601
291MB,303MB,116,2246ms,0.29343748,1s,2636,279,360s,372.551717
202MB,390MB,233,9966ms,0.23447138,7s,1300,875,57s,379.111061
205MB,336MB,797,5405ms,0.16736889,5s,8396,243,1620s,368.65989
228MB,481MB,831,7838ms,0.70001394,9s,6336,59,1260s,376.208544
70MB,324MB,285,3754ms,0.24081355,5s,2484,795,1740s,379.470629
67MB,86MB,281,2298ms,0.6717706,6s,4705,914,1020s,376.801165
511MB,351MB,845,2379ms,0.003523409,6s,6580,546,300s,371.37794
309MB,406MB,115,9524ms,0.2687105,4s,5195,525,1080s,364.629225
446MB,208MB,911,108ms,0.522936,9s,2769,20,1680s,371.28177
370MB,98MB,207,9845ms,0.009283781,3s,2408,266,3000s,360.940445
320MB,250MB,563,4058ms,0.4177748,6s,9646,279,780s,365.224873
161MB,212MB,787,7052ms,0.2862305,8s,3545,119,900s,377.325139
448MB,358MB,92,4629ms,0.1439997,1s,1223,796,2520s,379.760467
119MB,185MB,513,1956ms,0.84179157,6s,5360,983,37s,371.689401
151MB,199MB,52,2401ms,0.76366264,1s,2002,348,180s,362.490177
221MB,458MB,566,8292ms,0.91461676,7s,4171,193,59s,363.385719
335MB,215MB,955,6157ms,0.7821595,9s,6457,520,720s,373.360662
155MB,232MB,169,8313ms,0.5125745,5s,4338,468,2100s,373.613583
462MB,355MB,867,7773ms,0.002012849,2s,7911,733,49s,367.918727
232MB,508MB,685,7541ms,0.11425817,2s,7103,278,1020s,371.906875
346MB,273MB,203,9625ms,0.5834168,2s,2784,638,2640s,370.421434
295MB,134MB,901,950ms,0.9470025,4s,4074,71,2640s,371.443763
206MB,79MB,627,2231ms,0.29553527,7s,7070,192,1200s,372.343069
239MB,401MB,758,8857ms,0.5912373,1s,3863,649,44s,375.790192
267MB,219MB,266,37ms,0.026747346,8s,4954,961,1680s,380.349033
77MB,159MB,753,8515ms,0.74254894,9s,4334,282,51s,385.075047
203MB,354MB,800,6986ms,0.6792298,6s,6892,758,56s,374.843586
71MB,502MB,263,8286ms,0.4037525,5s,2288,592,37s,371.731899
213MB,360MB,58,5382ms,0.5551974,3s,906,674,58s,372.309492
243MB,281MB,309,5312ms,0.64413744,2s,4165,689,2820s,367.038925
448MB,137MB,973,7628ms,0.15549994,1s,1633,992,1500s,376.777054
142MB,320MB,101,5834ms,0.9015772,8s,6611,138,45s,380.150504
72MB,80MB,569,6282ms,0.49438715,3s,7256,170,240s,367.76554
508MB,436MB,176,8534ms,0.39175558,2s,9387,979,56s,370.378777
134MB,452MB,635,5710ms,0.932645,3s,9698,479,37s,369.706206
314MB,71MB,957,7089ms,0.26962495,9s,5208,604,240s,372.227639
152MB,203MB,633,6895ms,0.7181021,5s,7015,70,60s,375.346633
415MB,423MB,331,3326ms,0.4490428,3s,5173,214,480s,379.309611
358MB,421MB,189,5620ms,0.61244184,9s,8310,277,42s,371.370439
376MB,471MB,636,6804ms,0.43133783,5s,3251,101,31s,372.699259
154MB,83MB,394,9917ms,0.3620534,7s,6511,572,2700s,361.238734
90MB,206MB,77,8498ms,0.82466286,1s,2408,6,42s,374.318923
433MB,99MB,715,7483ms,0.50743735,9s,7377,738,2400s,363.52933
356MB,199MB,260,9427ms,0.77760017,5s,9791,411,1980s,369.464347
420MB,468MB,971,2156ms,0.005585492,5s,4453,118,2400s,366.97189
78MB,124MB,713,4688ms,0.69961023,7s,4151,74,36s,361.914516
66MB,291MB,950,239ms,0.97426355,7s,121,394,1500s,371.242235
435MB,462MB,373,178ms,0.30259264,3s,953,448,3540s,365.860304
311MB,302MB,411,8467ms,0.17983848,3s,3583,897,2160s,379.34143
293MB,68MB,328,2555ms,0.41147435,6s,2972,261,120s,371.31638
194MB,208MB,115,4985ms,0.63142467,6s,1434,588,2640s,374.273689
371MB,395MB,863,5838ms,0.015097559,8s,1623,416,53s,369.224937
271MB,504MB,838,853ms,0.7345006,8s,3900,317,1380s,364.481011
95MB,236MB,813,6925ms,0.48863882,6s,7570,590,31s,374.115899
72MB,159MB,431,2230ms,0.11328155,3s,3579,275,48s,379.17615
230MB,253MB,954,9771ms,0.8763481,9s,5105,758,2160s,382.319636
218MB,480MB,63,4266ms,0.11278337,7s,6631,819,1080s,364.82408
244MB,410MB,756,5929ms,0.019852877,6s,4764,143,3420s,370.38937
241MB,261MB,515,5335ms,0.2167921,8s,2876,693,3540s,369.320375
307MB,75MB,511,7109ms,0.27356,8s,4480,433,2640s,357.272347
268MB,240MB,763,2862ms,0.40383494,2s,8088,591,2580s,374.553069
274MB,249MB,388,4087ms,0.14133763,9s,9987,425,2340s,378.427947
358MB,98MB,659,8023ms,0.18690181,9s,4393,320,660s,378.136284
358MB,209MB,422,5724ms,0.14484805,9s,6675,150,1080s,368.913453
507MB,199MB,282,1248ms,0.90565825,6s,9065,177,52s,378.262098
430MB,401MB,193,5560ms,0.7394318,7s,15,742,1680s,356.472266
234MB,92MB,71,2573ms,0.9685854,1s,7641,235,41s,370.610498
193MB,457MB,845,4055ms,0.7090373,3s,7077,643,720s,378.590838
142MB,337MB,958,9449ms,0.28111655,6s,8464,450,50s,364.38886
96MB,182MB,831,2647ms,0.23250586,1s,4314,551,59s,373.350643
323MB,115MB,446,776ms,0.55106807,9s,1454,807,1320s,362.257869
183MB,232MB,562,7102ms,0.7681411,1s,934,148,2040s,372.902971
372MB,129MB,120,6677ms,0.11664528,3s,6047,77,2400s,377.293511
437MB,102MB,27,1322ms,0.56895894,5s,7971,953,51s,356.7212
439MB,100MB,974,362ms,0.7999657,9s,3108,182,120s,369.151493
121MB,487MB,288,9393ms,0.75120175,7s,4874,162,1980s,379.253314
